ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
003,0,Fox,Long,Right,medium,1,0.8773707,ATT,f,23,66,53,1,4,5,1
003,0,Lion,Long,Right,low,0,2.9660922,ATT,f,23,66,53,1,4,5,1
003,0,Horse,Long,Right,low,1,1.7743125,ATT,f,23,66,53,1,4,5,1
003,0,Panda,Short,Left,medium,1,1.0710134,ATT,f,23,66,53,1,4,5,1
003,0,Kangaroo,Long,Left,medium,1,1.0297175,ATT,f,23,66,53,1,4,5,1
003,0,Panda,Short,Left,low,1,2.0820999,ATT,f,23,66,53,1,4,5,1
003,0,Lion,Long,Right,medium,1,0.6942803,ATT,f,23,66,53,1,4,5,1
003,0,Giraffe,Long,Left,low,1,0.8775465,ATT,f,23,66,53,1,4,5,1
003,0,Gazelle,Short,Right,high,1,0.9880037,ATT,f,23,66,53,1,4,5,1
003,0,Rhino,Short,Left,low,0,1.1202227,ATT,f,23,66,53,1,4,5,1
003,0,Bull,Long,Left,low,1,1.3642616,ATT,f,23,66,53,1,4,5,1
003,0,Rhino,Short,Left,medium,0,0.7453453,ATT,f,23,66,53,1,4,5,1
003,0,Bull,Long,Left,medium,1,1.3151517,ATT,f,23,66,53,1,4,5,1
003,0,Deer,Short,Left,low,1,2.8014375,ATT,f,23,66,53,1,4,5,1
003,0,Monkey,Long,Left,low,1,0.8816718,ATT,f,23,66,53,1,4,5,1
003,0,Camel,Short,Right,high,0,0.9964054,ATT,f,23,66,53,1,4,5,1
003,0,Crow,Long,Left,high,1,0.7254762,ATT,f,23,66,53,1,4,5,1
003,0,Mole,Short,Right,medium,1,1.0722761,ATT,f,23,66,53,1,4,5,1
003,0,Elephant,Short,Right,low,0,3.7159989,ATT,f,23,66,53,1,4,5,1
003,0,Zebra,Long,Left,high,1,0.6491853,ATT,f,23,66,53,1,4,5,1
003,0,Jaguar,Long,Left,medium,1,0.957813,ATT,f,23,66,53,1,4,5,1
003,0,Deer,Short,Left,high,1,1.4145175,ATT,f,23,66,53,1,4,5,1
003,0,Elephant,Short,Right,medium,0,0.9326175,ATT,f,23,66,53,1,4,5,1
003,0,Bear,Short,Left,low,1,2.5792869,ATT,f,23,66,53,1,4,5,1
003,0,Wolf,Long,Right,high,1,1.0143247,ATT,f,23,66,53,1,4,5,1
003,0,Tiger,Long,Right,medium,1,2.8085654,ATT,f,23,66,53,1,4,5,1
003,0,Chameleon,Long,Right,low,1,1.0696124,ATT,f,23,66,53,1,4,5,1
003,0,Horse,Long,Right,medium,1,1.0378917,ATT,f,23,66,53,1,4,5,1
003,0,Hippo,Short,Left,low,1,1.3879316,ATT,f,23,66,53,1,4,5,1
003,0,Hippo,Short,Left,high,1,1.4308858,ATT,f,23,66,53,1,4,5,1
003,0,Wolf,Long,Right,medium,1,0.7501179,ATT,f,23,66,53,1,4,5,1
003,0,Panda,Short,Left,high,1,1.2563622,ATT,f,23,66,53,1,4,5,1
003,0,Wolf,Long,Right,low,1,1.2377612,ATT,f,23,66,53,1,4,5,1
003,0,Chameleon,Long,Right,medium,1,0.7188282,ATT,f,23,66,53,1,4,5,1
003,0,Fox,Long,Right,high,1,0.8731065,ATT,f,23,66,53,1,4,5,1
003,0,Tiger,Long,Right,high,1,0.7526739,ATT,f,23,66,53,1,4,5,1
003,0,Lamb,Short,Right,high,1,1.5013832,ATT,f,23,66,53,1,4,5,1
003,0,Lamb,Short,Right,medium,1,0.7868459,ATT,f,23,66,53,1,4,5,1
003,0,Chameleon,Long,Right,high,1,0.8106639,ATT,f,23,66,53,1,4,5,1
003,0,Bear,Short,Left,high,1,0.8211236,ATT,f,23,66,53,1,4,5,1
003,0,Mole,Short,Right,high,1,1.288532,ATT,f,23,66,53,1,4,5,1
003,0,Horse,Long,Right,high,1,0.7342278,ATT,f,23,66,53,1,4,5,1
