ID_participant,cog_load,pft_stim,pft_operations,pft_trial_resp.corr,pft_trial_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment,,,
15,0,PFT10.png,2,0,3.5965927,PFT,f,21,62,38,1,4,2,0,,,
6,0,PFT2.png,1,1,12.2679651,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT20.png,3,0,26.018545,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT7.png,1,0,4.7773713,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT24.png,3,1,42.7231087,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT5.png,1,1,2.7642979,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT10.png,2,0,2.8453559,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT23.png,3,0,4.6181713,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT9.png,2,0,23.3693297,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT19.png,3,0,6.3080923,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT8.png,1,0,2.5658895,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT14.png,2,0,11.5997389,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT4.png,1,0,2.1810506,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT22.png,3,1,14.1712892,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT1.png,1,0,2.0052978,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT12.png,2,0,4.2382526,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT18.png,3,1,4.4042594,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT3.png,1,0,12.8756626,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT17.png,3,0,11.5267296,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT13.png,2,0,4.7719757,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT15.png,2,0,14.4718834,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT16.png,2,0,18.8086891,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT6.png,1,0,3.4012014,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT21.png,3,0,21.0595031,ATT,f,21,60,40,1,2,4,0,,,
6,0,PFT11.png,2,0,3.5875478,ATT,f,21,60,40,1,2,4,0,,,
21,1,PFT13.png,2,0,10.017499,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT1.png,1,0,5.6606095,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT18.png,3,1,20.2119151,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT15.png,2,0,20.66823,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT2.png,1,1,6.5346047,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT10.png,2,0,8.5441642,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT22.png,3,1,13.6265067,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT16.png,2,0,20.3153974,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT4.png,1,0,2.38258,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT19.png,3,0,7.8071006,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT23.png,3,0,18.5074132,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT17.png,3,0,11.3046079,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT20.png,3,1,29.7674536,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT21.png,3,0,22.4547667,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT8.png,1,0,6.3023429,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT14.png,2,0,10.9550906,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT11.png,2,0,27.9217436,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT6.png,1,0,1.8663996,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT12.png,2,0,8.5097832,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT9.png,2,0,2.5094641,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT5.png,1,1,1.7561883,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT24.png,3,0,13.0694952,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT3.png,1,0,4.1729031,ATT,f,19,66,38,1,7,6,0,,,
21,1,PFT7.png,1,0,2.216948,ATT,f,19,66,38,1,7,6,0,,,
22,1,PFT17.png,3,0,5.1466865,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT7.png,1,1,3.6495265,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT3.png,1,0,6.3530647,ATT,f,19,54,44,1,3,4,0,,,
